,S001,S005,S008,S009,S010,S011,S013,S018,S019,S021,S023,S024,S025,S026,S027,S028,S029,S033,S034,S037,S044,S046,S049,S064,S065,S066,S069,S070,S072,S081,S082,S083,S084,S086,S090,S094,S098,S100,S107
Nitrosarchaeum sp. AC2,0,0,5,0,0,0,0,0,30,0,5,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,5
Halorubrum lacusprofundi,0,0,5,0,0,5,0,0,0,0,5,0,0,0,5,5,0,10,0,0,0,0,0,5,0,0,0,0,0,0,5,5,0,0,0,5,0,0,0
Halococcoides cellulosivorans,0,5,0,0,20,0,0,0,0,0,0,0,0,0,0,0,5,10,0,0,0,5,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,5,0
Nitrosopumilus sp. K4,0,0,0,0,0,5,0,10,5,0,5,0,5,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,5,0,0,0,0,0,5
Natribaculum luteum,0,0,5,0,0,0,0,0,0,0,0,0,0,0,5,5,5,0,0,0,0,10,0,0,0,0,5,0,0,0,5,0,0,5,0,0,0,5,5
Halovivax limisalsi,0,0,0,0,0,5,0,15,5,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,5,0,0,0,10,0,5
Halohasta litchfieldiae,0,0,0,0,20,5,0,0,5,0,0,0,0,5,0,0,0,0,0,0,0,0,0,5,0,5,0,0,0,0,0,0,0,0,0,0,5,0,5
Halopenitus persicus,0,0,0,0,0,0,0,0,0,5,5,0,0,0,5,0,0,10,0,0,0,0,5,0,0,0,0,5,0,0,0,0,0,0,0,10,0,5,5
Halobaculum rubrum,0,0,5,0,0,5,0,10,0,5,5,0,0,0,10,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,5,0
Haloprofundus salilacus,0,10,0,0,0,5,0,0,0,0,5,0,0,5,5,5,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,5,0,0,0,0,0,0,5
Haloplanus sp. GDY1,0,5,10,5,0,0,0,0,0,0,10,0,0,0,5,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,5,5,0
Halosegnis sp. DT85,0,5,0,0,0,0,0,10,0,0,0,0,5,0,0,10,5,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,5,0,0,0,0,5
Halomicroarcula marina,0,0,0,0,0,0,0,10,5,0,0,0,0,0,10,0,0,0,0,0,0,0,15,0,0,0,0,5,0,0,0,0,0,0,0,0,0,5,5
Halanaeroarchaeum sulfurireducens,0,5,0,0,20,0,0,0,5,0,0,0,5,0,5,0,5,0,0,5,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Haloglomus sp. ZY58,0,5,0,0,0,5,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,5,0,0,5,5,5,0,0,0,5,5,0
Haladaptatus salinisoli,0,0,5,0,0,5,0,0,5,0,10,0,0,0,0,0,5,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,5,0,10,0,5,0
Candidatus Nitrosomarinus catalina,0,0,0,5,0,0,0,0,20,0,0,0,10,0,10,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Methanocella paludicola,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,10,5,0,0,0,0,0,0,0,0,0,0,5,0,5,10,0,0,0,5,0
Natrinema pellirubrum,0,5,5,0,0,5,0,0,0,0,0,0,0,5,5,0,0,0,0,0,0,0,0,0,0,0,0,5,5,0,0,0,0,0,0,0,10,5,0
