,S001,S009,S005,S008,S010,S011,S013,S019,S018,S021,S023,S024,S025,S026,S027,S028,S029,S034,S033,S037,S044,S046,S049,S064,S065,S066,S069,S070,S072,S081,S082,S083,S084,S086,S090,S094,S098,S100,S107
mgdD,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
mgsA,0,0,4,4,0,5,0,2,3,0,2,1,2,1,4,5,2,0,4,0,2,2,3,2,5,2,4,7,4,4,6,2,4,2,1,0,5,4,2
mgsB,0,0,0,1,0,1,0,0,1,0,0,0,1,2,0,3,0,0,0,1,1,1,1,0,2,2,1,4,0,4,2,2,1,1,0,0,5,0,0
mgsC,0,0,15,6,0,13,1,4,9,11,7,11,6,11,15,11,7,11,10,3,2,10,11,10,13,16,2,15,8,11,8,9,5,11,7,14,15,14,4
mmoC,0,2,2,4,1,7,0,7,3,2,9,4,1,7,7,9,2,2,3,10,1,4,8,4,24,15,13,21,7,13,11,5,14,10,7,10,6,9,7
mmoX,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,1,2,0,0,0,0,0,1,0,1,0
mmoY,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
mtaA,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,1,2,0,1,0,2,1,0,0,0,0,2,1,2,0
mtaB,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,1,0,0,0,0,0,0
mtaC,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
mtbA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,0,1,0,0,2,1,1,0,0,0,0,0,0
mtbC,2,4,4,1,0,3,2,5,4,3,2,12,4,8,4,8,5,7,4,15,5,7,4,7,25,11,15,14,12,27,22,14,19,5,9,14,12,9,11
mtdA,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0
mtdB,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,1,1
mtkA,0,0,8,8,0,5,1,4,5,5,10,11,4,13,8,13,9,9,9,8,2,7,10,5,10,14,12,15,14,9,7,11,6,10,9,13,13,18,7
mtkB,0,2,11,8,2,19,0,6,9,7,6,10,8,14,10,20,4,10,13,15,2,10,13,11,24,12,16,20,8,12,16,16,15,9,14,16,14,27,7
mtrA,0,0,0,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,1,1,3,0,0,1,1,1,0
mtsA,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
mttB,0,0,0,2,0,1,0,1,0,2,2,3,0,1,2,0,0,0,0,0,0,0,2,1,2,1,0,2,0,1,0,4,4,1,0,3,3,2,1
mttC,0,0,0,0,0,1,0,1,1,0,1,1,1,0,1,0,0,0,0,0,0,0,1,0,1,1,0,1,0,0,0,0,0,0,1,0,0,2,0
mvhA,0,0,1,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,3,4,2,3,3,4,3,1,0,3,0,0,1,0,1
mvhD,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,0,1,0,0,0,1,1,0,0,0,0
mvhG,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,2,0,0,3,0,0,1,1,1,0,1,1,0,0,0,0,0,0,1,0
mxaC,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0
mxaD,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,0,0,0,0,0,1,0,1,0,1,1,1,0,0,0,0,0,0,0,2
mxaF,1,1,3,19,1,7,0,17,17,4,4,3,3,20,14,27,5,9,3,23,4,11,16,9,39,28,28,31,25,52,53,30,39,20,10,0,10,22,28
mxaG,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,2,0,0,1,0,0,0,0,0,0,0,0
mxaJ,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0
mxaK,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0
mxaL,0,0,0,0,0,0,0,2,1,0,0,0,0,2,1,2,0,1,0,0,0,0,1,0,0,0,2,2,2,3,1,0,1,1,1,0,0,1,1
napH,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1
